ID,factura,Fecha,vehiculo,costo_total,costo_directo,costo_fijo
542028,Q422.17,2017-08-03,Camion_5,Q363.17,Q232.43,Q130.74
502708,Q399.75,2017-04-04,Camion_5,Q356.75,Q221.19,Q135.57
559820,Q430.56,2017-09-01,Camion_5,Q377.56,Q252.96,Q124.59
870012,Q145.97,2017-08-12,Camion_5,Q115.97,Q68.42,Q47.55
763336,Q400.07,2017-04-11,Camion_5,Q371.07,Q241.19,Q129.87
627094,Q385.24,2017-11-03,Camion_5,Q353.24,Q233.14,Q120.10
627094,Q373.12,2017-06-28,Camion_5,Q315.12,Q198.53,Q116.60
627094,Q397.61,2017-05-29,Camion_5,Q333.61,Q196.83,Q136.78
627094,Q439.15,2017-08-18,Camion_5,Q373.15,Q246.28,Q126.87
627094,Q396.73,2017-08-13,Camion_5,Q360.73,Q220.05,Q140.68
627094,Q382.40,2017-06-04,Camion_5,Q332.40,Q209.41,Q122.99
627094,Q373.66,2017-01-21,Camion_5,Q307.66,Q187.68,Q119.99
627094,Q383.63,2017-02-28,Camion_5,Q320.63,Q214.82,Q105.81
627094,Q430.28,2017-09-17,Camion_5,Q375.28,Q232.67,Q142.61
627094,Q388.79,2017-05-07,Camion_5,Q335.79,Q198.12,Q137.67
627094,Q370.88,2017-12-29,Camion_5,Q332.88,Q206.39,Q126.50
627094,Q343.02,2017-08-02,Camion_5,Q318.02,Q209.89,Q108.13
627094,Q376.47,2017-02-21,Camion_5,Q331.47,Q225.40,Q106.07
627094,Q377.33,2017-01-07,Camion_5,Q351.33,Q210.80,Q140.53
627094,Q413.24,2017-03-24,Camion_5,Q359.24,Q237.10,Q122.14
627094,Q392.19,2017-01-10,Camion_5,Q359.19,Q233.48,Q125.72
437406,Q422.51,2017-05-14,Camion_5,Q366.51,Q230.90,Q135.61
546177,Q156.95,2017-11-01,Camion_5,Q96.95,Q63.98,Q32.96
546177,Q115.48,2017-08-16,Camion_5,Q65.48,Q43.22,Q22.26
862518,Q167.75,2017-11-04,Camion_5,Q152.75,Q100.81,Q51.93
862518,Q240.54,2017-11-21,Camion_5,Q208.54,Q123.04,Q85.50
895476,Q429.60,2017-10-22,Camion_5,Q354.60,Q230.49,Q124.11
895476,Q349.58,2017-01-21,Camion_5,Q307.58,Q187.62,Q119.96
873883,Q363.92,2017-07-30,Camion_5,Q347.92,Q226.15,Q121.77
873883,Q403.29,2017-12-08,Camion_5,Q335.29,Q204.53,Q130.76
873883,Q431.38,2017-12-15,Camion_5,Q390.38,Q261.55,Q128.82
873883,Q447.34,2017-02-20,Camion_5,Q405.34,Q243.20,Q162.13
873883,Q463.98,2017-09-15,Camion_5,Q405.98,Q243.59,Q162.39
873883,Q396.68,2017-01-31,Camion_5,Q374.68,Q251.04,Q123.65
873883,Q402.02,2017-12-14,Camion_5,Q376.02,Q221.85,Q154.17
873883,Q417.74,2017-06-23,Camion_5,Q346.74,Q221.92,Q124.83
873883,Q451.50,2017-05-19,Camion_5,Q397.50,Q270.30,Q127.20
707585,Q186.35,2017-07-25,Camion_5,Q145.35,Q95.93,Q49.42
324871,Q207.44,2017-03-07,Camion_5,Q169.44,Q115.22,Q54.22
381567,Q127.24,2017-07-20,Camion_5,Q98.24,Q65.82,Q32.42
483279,Q182.97,2017-07-19,Camion_5,Q119.97,Q79.18,Q40.79
321043,Q169.90,2017-12-12,Camion_5,Q133.90,Q89.71,Q44.19
321043,Q143.73,2017-06-27,Camion_5,Q97.73,Q66.45,Q31.27
321031,Q147.15,2017-04-09,Camion_5,Q121.15,Q78.75,Q42.40
321031,Q238.93,2017-01-26,Camion_5,Q174.93,Q103.21,Q71.72
621466,Q290.71,2017-12-05,Camion_5,Q225.71,Q139.94,Q85.77
480392,Q192.22,2017-08-06,Camion_5,Q144.22,Q87.98,Q56.25
660305,Q245.10,2017-02-22,Camion_5,Q174.10,Q109.69,Q64.42
753763,Q335.23,2017-09-16,Camion_5,Q294.23,Q191.25,Q102.98
659625,Q252.57,2017-06-23,Camion_5,Q219.57,Q147.11,Q72.46
659625,Q305.99,2017-03-05,Camion_5,Q239.99,Q160.80,Q79.20
311244,Q313.53,2017-02-25,Camion_5,Q253.53,Q152.12,Q101.41
311244,Q352.93,2017-03-10,Camion_5,Q280.93,Q171.36,Q109.56
308423,Q368.66,2017-06-24,Camion_5,Q294.66,Q188.58,Q106.08
308423,Q354.96,2017-01-09,Camion_5,Q326.96,Q219.06,Q107.90
733206,Q326.54,2017-07-25,Camion_5,Q255.54,Q155.88,Q99.66
986713,Q356.75,2017-07-22,Camion_5,Q335.75,Q204.81,Q130.94
986713,Q406.64,2017-11-16,Camion_5,Q374.64,Q236.02,Q138.62
986713,Q404.53,2017-04-28,Camion_5,Q331.53,Q205.55,Q125.98
986713,Q405.62,2017-09-25,Camion_5,Q344.62,Q217.11,Q127.51
986713,Q402.28,2017-06-21,Camion_5,Q377.28,Q256.55,Q120.73
986713,Q325.79,2017-03-01,Camion_5,Q309.79,Q182.78,Q127.01
986713,Q406.59,2017-04-23,Camion_5,Q342.59,Q212.40,Q130.18
986713,Q403.45,2017-05-03,Camion_5,Q378.45,Q253.56,Q124.89
986713,Q409.49,2017-04-07,Camion_5,Q353.49,Q240.37,Q113.12
986713,Q414.92,2017-03-10,Camion_5,Q357.92,Q214.75,Q143.17
986713,Q355.25,2017-06-18,Camion_5,Q322.25,Q219.13,Q103.12
986713,Q363.43,2017-07-10,Camion_5,Q313.43,Q206.87,Q106.57
986713,Q365.10,2017-10-11,Camion_5,Q332.10,Q222.50,Q109.59
986713,Q396.07,2017-07-05,Camion_5,Q365.07,Q222.69,Q142.38
986713,Q353.32,2017-07-10,Camion_5,Q305.32,Q207.62,Q97.70
986713,Q359.21,2017-05-09,Camion_5,Q321.21,Q215.21,Q106.00
986713,Q352.49,2017-05-08,Camion_5,Q313.49,Q197.50,Q115.99
844018,Q356.15,2017-05-28,Camion_5,Q288.15,Q195.94,Q92.21
794602,Q351.07,2017-03-13,Camion_5,Q293.07,Q175.84,Q117.23
657189,Q342.68,2017-10-27,Camion_5,Q313.68,Q188.21,Q125.47
657189,Q364.42,2017-03-24,Camion_5,Q300.42,Q186.26,Q114.16
657189,Q414.35,2017-06-17,Camion_5,Q360.35,Q245.04,Q115.31
657189,Q414.21,2017-09-23,Camion_5,Q347.21,Q211.80,Q135.41
905553,Q401.19,2017-01-26,Camion_5,Q361.19,Q216.71,Q144.47
905553,Q432.77,2017-10-07,Camion_5,Q367.77,Q216.98,Q150.79
497098,Q325.88,2017-06-07,Camion_5,Q255.88,Q158.65,Q97.24
497098,Q295.32,2017-08-07,Camion_5,Q280.32,Q170.99,Q109.32
497098,Q338.33,2017-09-13,Camion_5,Q282.33,Q175.05,Q107.29
497098,Q280.65,2017-02-24,Camion_5,Q244.65,Q154.13,Q90.52
458286,Q72.05,2017-05-26,Camion_5,Q56.05,Q34.75,Q21.30
703274,Q344.24,2017-03-05,Camion_5,Q329.24,Q194.25,Q134.99
347271,Q440.62,2017-11-20,Camion_5,Q377.62,Q234.13,Q143.50
351253,Q444.31,2017-06-01,Camion_5,Q386.31,Q227.92,Q158.39
891185,Q395.69,2017-04-20,Camion_5,Q358.69,Q240.32,Q118.37
861270,Q191.46,2017-06-29,Camion_5,Q118.46,Q73.44,Q45.01
567113,Q99.71,2017-06-28,Camion_5,Q69.71,Q44.62,Q25.10
316022,Q120.05,2017-01-20,Camion_5,Q94.05,Q63.95,Q30.09
337917,Q102.85,2017-11-20,Camion_5,Q82.85,Q49.71,Q33.14
545473,Q255.35,2017-08-10,Camion_5,Q185.35,Q113.06,Q72.29
915970,Q209.25,2017-08-19,Camion_5,Q167.25,Q113.73,Q53.52
320331,Q176.17,2017-05-17,Camion_5,Q135.17,Q90.57,Q44.61
749538,Q145.30,2017-05-26,Camion_5,Q73.30,Q48.38,Q24.92
749538,Q103.51,2017-01-26,Camion_5,Q66.51,Q40.57,Q25.94
841063,Q180.68,2017-09-11,Camion_5,Q113.68,Q68.21,Q45.47
334493,Q192.65,2017-06-03,Camion_5,Q129.65,Q79.09,Q50.56
334493,Q132.59,2017-04-09,Camion_5,Q113.59,Q72.70,Q40.89
334493,Q134.49,2017-05-21,Camion_5,Q105.49,Q71.73,Q33.76
593720,Q135.81,2017-07-29,Camion_5,Q65.81,Q42.78,Q23.03
593720,Q184.19,2017-08-07,Camion_5,Q134.19,Q88.57,Q45.62
915081,Q203.00,2017-01-09,Camion_5,Q177.00,Q116.82,Q60.18
767918,Q129.71,2017-09-06,Camion_5,Q59.71,Q35.23,Q24.48
767918,Q79.35,2017-01-16,Camion_5,Q40.35,Q24.61,Q15.73
575358,Q251.16,2017-01-07,Camion_5,Q226.16,Q147.00,Q79.16
386136,Q101.68,2017-06-14,Camion_5,Q34.68,Q20.81,Q13.87
569053,Q147.96,2017-03-03,Camion_5,Q101.96,Q61.18,Q40.79
323713,Q232.92,2017-07-06,Camion_5,Q211.92,Q133.51,Q78.41
323713,Q291.66,2017-01-17,Camion_5,Q243.66,Q158.38,Q85.28
625839,Q176.93,2017-12-03,Camion_5,Q157.93,Q99.50,Q58.44
625839,Q189.68,2017-01-09,Camion_5,Q159.68,Q95.81,Q63.87
548819,Q278.85,2017-09-04,Camion_5,Q226.85,Q136.11,Q90.74
588199,Q165.13,2017-11-15,Camion_5,Q107.13,Q66.42,Q40.71
588199,Q171.15,2017-10-29,Camion_5,Q111.15,Q72.25,Q38.90
588199,Q113.11,2017-03-22,Camion_5,Q90.11,Q54.97,Q35.14
588199,Q158.83,2017-02-05,Camion_5,Q112.83,Q69.96,Q42.88
588199,Q173.59,2017-02-25,Camion_5,Q99.59,Q62.74,Q36.85
588199,Q118.86,2017-05-03,Camion_5,Q52.86,Q32.77,Q20.09
588199,Q138.66,2017-11-13,Camion_5,Q86.66,Q53.73,Q32.93
588199,Q156.01,2017-07-11,Camion_5,Q87.01,Q53.07,Q33.93
588199,Q117.02,2017-03-27,Camion_5,Q92.02,Q61.66,Q30.37
588199,Q124.12,2017-09-07,Camion_5,Q58.12,Q37.20,Q20.92
784001,Q167.55,2017-02-14,Camion_5,Q121.55,Q76.58,Q44.97
669044,Q215.87,2017-06-02,Camion_5,Q158.87,Q104.86,Q54.02
668080,Q157.68,2017-05-29,Camion_5,Q122.68,Q82.20,Q40.49
668080,Q130.63,2017-08-31,Camion_5,Q79.63,Q53.35,Q26.28
668080,Q111.97,2017-09-28,Camion_5,Q80.97,Q55.06,Q25.91
668080,Q151.44,2017-10-08,Camion_5,Q99.44,Q62.65,Q36.79
668080,Q93.00,2017-08-28,Camion_5,Q63.00,Q40.32,Q22.68
668080,Q145.72,2017-10-21,Camion_5,Q121.72,Q76.69,Q45.04
668080,Q144.94,2017-12-28,Camion_5,Q107.94,Q70.16,Q37.78
435815,Q155.41,2017-04-18,Camion_5,Q134.41,Q91.40,Q43.01
522881,Q180.68,2017-10-11,Camion_5,Q110.68,Q75.26,Q35.42
522881,Q165.38,2017-01-14,Camion_5,Q100.38,Q64.24,Q36.14
522881,Q87.59,2017-12-02,Camion_5,Q65.59,Q40.01,Q25.58
522881,Q105.79,2017-10-18,Camion_5,Q67.79,Q43.38,Q24.40
626076,Q156.33,2017-05-07,Camion_5,Q130.33,Q78.20,Q52.13
626076,Q188.34,2017-08-24,Camion_5,Q151.34,Q95.35,Q56.00
639834,Q305.02,2017-08-18,Camion_5,Q243.02,Q143.38,Q99.64
639834,Q345.40,2017-10-25,Camion_5,Q278.40,Q186.53,Q91.87
385025,Q164.49,2017-12-07,Camion_5,Q146.49,Q95.22,Q51.27
393887,Q253.57,2017-02-22,Camion_5,Q191.57,Q128.35,Q63.22
435200,Q330.02,2017-03-20,Camion_5,Q311.02,Q192.83,Q118.19
435200,Q345.25,2017-03-22,Camion_5,Q283.25,Q169.95,Q113.30
380285,Q232.00,2017-08-30,Camion_5,Q203.00,Q129.92,Q73.08
481656,Q124.94,2017-05-10,Camion_5,Q101.94,Q69.32,Q32.62
481656,Q183.21,2017-06-04,Camion_5,Q142.21,Q91.02,Q51.20
481656,Q224.73,2017-05-20,Camion_5,Q149.73,Q101.81,Q47.91
481656,Q146.86,2017-04-16,Camion_5,Q86.86,Q51.25,Q35.61
303919,Q166.11,2017-05-02,Camion_5,Q96.11,Q63.43,Q32.68
388775,Q182.26,2017-08-06,Camion_5,Q157.26,Q99.07,Q58.19
394848,Q211.10,2017-01-21,Camion_5,Q195.10,Q120.96,Q74.14
344004,Q113.45,2017-04-02,Camion_5,Q87.45,Q51.60,Q35.86
824257,Q101.81,2017-02-15,Camion_5,Q74.81,Q50.87,Q23.94
824257,Q162.94,2017-10-18,Camion_5,Q114.94,Q74.71,Q40.23
824257,Q133.50,2017-08-03,Camion_5,Q76.50,Q45.90,Q30.60
387334,Q185.63,2017-05-29,Camion_5,Q123.63,Q75.42,Q48.22
999623,Q207.41,2017-10-06,Camion_5,Q155.41,Q101.02,Q54.39
433381,Q118.02,2017-08-07,Camion_5,Q57.02,Q38.77,Q18.25
433381,Q139.56,2017-03-09,Camion_5,Q100.56,Q68.38,Q32.18
956610,Q108.52,2017-11-05,Camion_5,Q92.52,Q58.29,Q34.23
956610,Q111.05,2017-02-11,Camion_5,Q72.05,Q46.11,Q25.94
956610,Q150.30,2017-02-02,Camion_5,Q105.30,Q68.45,Q36.86
956610,Q157.49,2017-08-18,Camion_5,Q103.49,Q61.06,Q42.43
658299,Q75.74,2017-05-14,Camion_5,Q53.74,Q34.39,Q19.35
860501,Q81.29,2017-09-11,Camion_5,Q46.29,Q31.01,Q15.28
939965,Q137.35,2017-02-09,Camion_5,Q97.35,Q64.25,Q33.10
782893,Q180.61,2017-01-31,Camion_5,Q113.61,Q73.85,Q39.77
597855,Q195.26,2017-02-05,Camion_5,Q147.26,Q100.14,Q47.12
616071,Q143.25,2017-12-25,Camion_5,Q82.25,Q55.93,Q26.32
366960,Q137.37,2017-02-10,Camion_5,Q91.37,Q57.56,Q33.81
366960,Q105.68,2017-09-26,Camion_5,Q82.68,Q52.09,Q30.59
366960,Q195.14,2017-06-04,Camion_5,Q122.14,Q80.61,Q41.53
366960,Q104.87,2017-06-09,Camion_5,Q85.87,Q54.96,Q30.91
366960,Q140.87,2017-03-11,Camion_5,Q124.87,Q84.91,Q39.96
366960,Q95.23,2017-02-14,Camion_5,Q75.23,Q47.40,Q27.84
366960,Q185.20,2017-12-03,Camion_5,Q111.20,Q70.06,Q41.14
366960,Q132.27,2017-03-02,Camion_5,Q83.27,Q53.29,Q29.98
366960,Q204.30,2017-07-27,Camion_5,Q131.30,Q87.97,Q43.33
366960,Q135.56,2017-01-11,Camion_5,Q111.56,Q70.29,Q41.28
366960,Q159.75,2017-10-27,Camion_5,Q136.75,Q84.79,Q51.97
366960,Q137.55,2017-11-07,Camion_5,Q117.55,Q76.41,Q41.14
366960,Q140.06,2017-02-19,Camion_5,Q112.06,Q73.96,Q38.10
662960,Q90.54,2017-05-17,Camion_5,Q41.54,Q28.25,Q13.29
662960,Q110.67,2017-06-01,Camion_5,Q74.67,Q47.79,Q26.88
451765,Q193.03,2017-03-09,Camion_5,Q159.03,Q93.83,Q65.20
315914,Q369.82,2017-01-13,Camion_5,Q328.82,Q207.16,Q121.66
515998,Q119.87,2017-01-08,Camion_5,Q49.87,Q33.41,Q16.46
515998,Q91.42,2017-03-29,Camion_5,Q51.42,Q33.42,Q18.00
515998,Q152.31,2017-02-26,Camion_5,Q108.31,Q72.57,Q35.74
918251,Q87.10,2017-04-18,Camion_5,Q39.10,Q24.63,Q14.47
508165,Q342.26,2017-08-06,Camion_5,Q278.26,Q169.74,Q108.52
