ID,factura,Fecha,vehiculo,costo_total,costo_directo,costo_fijo
730040,Q185.71,2017-10-21,Moto,Q123.71,Q80.41,Q43.30
560604,Q181.39,2017-02-13,Moto,Q86.39,Q56.15,Q30.24
560604,Q119.38,2017-02-06,Moto,Q63.38,Q38.03,Q25.35
546177,Q123.41,2017-12-08,Moto,Q88.41,Q55.70,Q32.71
623973,Q191.25,2017-07-11,Moto,Q97.25,Q65.16,Q32.09
515441,Q173.27,2017-05-11,Moto,Q73.27,Q43.96,Q29.31
976735,Q82.46,2017-04-25,Moto,Q50.46,Q32.29,Q18.16
724507,Q216.62,2017-08-09,Moto,Q149.62,Q97.25,Q52.37
409723,Q65.39,2017-04-18,Moto,Q33.39,Q21.70,Q11.69
681297,Q90.59,2017-06-17,Moto,Q27.59,Q17.38,Q10.21
597150,Q177.55,2017-10-15,Moto,Q91.55,Q54.02,Q37.54
481391,Q189.59,2017-07-26,Moto,Q174.59,Q118.72,Q55.87
545473,Q144.79,2017-05-30,Moto,Q59.79,Q38.27,Q21.53
680806,Q119.74,2017-08-10,Moto,Q74.74,Q47.09,Q27.66
632549,Q112.10,2017-09-20,Moto,Q70.10,Q44.87,Q25.24
862793,Q77.33,2017-09-15,Moto,Q27.33,Q17.76,Q9.56
756119,Q117.36,2017-06-16,Moto,Q85.36,Q54.63,Q30.73
387334,Q108.76,2017-11-03,Moto,Q69.76,Q43.95,Q25.81
966126,Q124.55,2017-11-24,Moto,Q67.55,Q42.55,Q24.99
999623,Q87.26,2017-09-14,Moto,Q44.26,Q27.00,Q17.26
673620,Q226.70,2017-11-21,Moto,Q132.70,Q79.62,Q53.08
433381,Q80.52,2017-12-04,Moto,Q65.52,Q44.55,Q20.97
577802,Q78.08,2017-08-10,Moto,Q34.08,Q22.15,Q11.93
337228,Q136.91,2017-06-17,Moto,Q55.91,Q32.99,Q22.92
337228,Q133.87,2017-05-17,Moto,Q34.87,Q20.57,Q14.30
784334,Q125.02,2017-01-23,Moto,Q27.02,Q17.29,Q9.73
349705,Q213.70,2017-10-11,Moto,Q122.70,Q83.43,Q39.26
688952,Q53.95,2017-07-07,Moto,Q19.95,Q12.57,Q7.38
987001,Q128.39,2017-08-07,Moto,Q64.39,Q43.14,Q21.25
483938,Q167.66,2017-05-26,Moto,Q80.66,Q54.04,Q26.62
483055,Q90.29,2017-05-15,Moto,Q47.29,Q31.21,Q16.08
758776,Q147.73,2017-05-26,Moto,Q71.73,Q42.32,Q29.41
595543,Q155.06,2017-11-21,Moto,Q58.06,Q35.41,Q22.64
595543,Q79.40,2017-09-04,Moto,Q29.40,Q19.99,Q9.41
712727,Q126.02,2017-06-07,Moto,Q86.02,Q53.33,Q32.69
897026,Q138.79,2017-01-13,Moto,Q66.79,Q44.75,Q22.04
359460,Q137.75,2017-06-09,Moto,Q53.75,Q34.40,Q19.35
422966,Q100.51,2017-11-07,Moto,Q81.51,Q54.61,Q26.90
422966,Q157.26,2017-06-30,Moto,Q93.26,Q62.49,Q30.78
638505,Q169.21,2017-03-09,Moto,Q99.21,Q67.46,Q31.75
908300,Q138.83,2017-10-08,Moto,Q43.83,Q26.30,Q17.53
541750,Q141.62,2017-10-29,Moto,Q66.62,Q44.64,Q21.99
703975,Q151.28,2017-02-06,Moto,Q74.28,Q46.79,Q27.48
466410,Q108.96,2017-03-06,Moto,Q58.96,Q37.15,Q21.82
307716,Q53.94,2017-11-13,Moto,Q34.94,Q23.76,Q11.18
887986,Q118.13,2017-07-17,Moto,Q82.13,Q54.21,Q27.92
887986,Q111.21,2017-05-22,Moto,Q60.21,Q40.34,Q19.87
605392,Q155.13,2017-12-05,Moto,Q89.13,Q53.48,Q35.65
875201,Q97.51,2017-08-10,Moto,Q40.51,Q26.33,Q14.18
968391,Q167.68,2017-04-22,Moto,Q121.68,Q77.88,Q43.81
776838,Q83.84,2017-05-23,Moto,Q40.84,Q27.77,Q13.07
341479,Q137.77,2017-04-19,Moto,Q53.77,Q33.87,Q19.89
943480,Q98.83,2017-12-02,Moto,Q31.83,Q19.42,Q12.41
779008,Q265.56,2017-05-21,Moto,Q184.56,Q116.27,Q68.29
779008,Q227.52,2017-08-05,Moto,Q179.52,Q114.89,Q64.63
839827,Q144.58,2017-08-02,Moto,Q87.58,Q58.68,Q28.90
634109,Q99.47,2017-02-03,Moto,Q26.47,Q18.00,Q8.47
958619,Q62.49,2017-05-13,Moto,Q46.49,Q27.43,Q19.06
674203,Q150.15,2017-04-08,Moto,Q105.15,Q65.19,Q39.96
770909,Q161.03,2017-03-02,Moto,Q91.03,Q53.71,Q37.32
662347,Q152.40,2017-02-24,Moto,Q87.40,Q58.56,Q28.84
955929,Q66.72,2017-12-13,Moto,Q24.72,Q15.32,Q9.39
315998,Q138.57,2017-04-29,Moto,Q99.57,Q64.72,Q34.85
649981,Q117.93,2017-09-27,Moto,Q54.93,Q32.41,Q22.52
809919,Q158.61,2017-02-24,Moto,Q72.61,Q46.47,Q26.14
809919,Q49.30,2017-09-24,Moto,Q27.30,Q17.74,Q9.55
908237,Q135.36,2017-06-04,Moto,Q108.36,Q65.02,Q43.35
570007,Q79.84,2017-12-26,Moto,Q41.84,Q26.36,Q15.48
853968,Q119.62,2017-03-06,Moto,Q40.62,Q26.00,Q14.62
307455,Q215.26,2017-11-30,Moto,Q161.26,Q108.05,Q53.22
622272,Q171.20,2017-09-29,Moto,Q81.20,Q50.35,Q30.86
893030,Q98.75,2017-08-10,Moto,Q15.75,Q9.45,Q6.30
462856,Q147.27,2017-09-23,Moto,Q56.27,Q37.70,Q18.57
557849,Q122.46,2017-01-23,Moto,Q63.46,Q41.89,Q21.58
557849,Q112.23,2017-03-30,Moto,Q74.23,Q43.80,Q30.44
557849,Q105.75,2017-08-14,Moto,Q27.75,Q17.20,Q10.54
856029,Q131.72,2017-08-08,Moto,Q89.72,Q54.73,Q34.99
587043,Q66.59,2017-11-22,Moto,Q35.59,Q24.20,Q11.39
418648,Q100.88,2017-12-06,Moto,Q35.88,Q21.17,Q14.71
496189,Q217.73,2017-04-15,Moto,Q153.73,Q96.85,Q56.88
781472,Q76.75,2017-03-31,Moto,Q30.75,Q18.14,Q12.61
848112,Q182.88,2017-06-12,Moto,Q95.88,Q56.57,Q39.31
848112,Q124.45,2017-12-31,Moto,Q57.45,Q35.04,Q22.40
380269,Q94.74,2017-01-12,Moto,Q49.74,Q32.33,Q17.41
598534,Q77.15,2017-02-17,Moto,Q54.15,Q34.66,Q19.50
673973,Q168.68,2017-01-21,Moto,Q82.68,Q52.09,Q30.59
501590,Q139.55,2017-09-02,Moto,Q83.55,Q55.14,Q28.41
652051,Q132.12,2017-02-06,Moto,Q53.12,Q31.34,Q21.78
391078,Q69.16,2017-11-30,Moto,Q54.16,Q34.12,Q20.04
323855,Q91.97,2017-08-11,Moto,Q56.97,Q37.03,Q19.94
323855,Q109.65,2017-05-08,Moto,Q27.65,Q16.31,Q11.34
323855,Q104.07,2017-09-21,Moto,Q80.07,Q52.05,Q28.03
941183,Q92.68,2017-09-04,Moto,Q65.68,Q44.66,Q21.02
474083,Q89.51,2017-06-07,Moto,Q38.51,Q25.42,Q13.09
568322,Q47.03,2017-01-24,Moto,Q30.03,Q17.72,Q12.31
475194,Q114.56,2017-08-12,Moto,Q84.56,Q52.43,Q32.13
509213,Q145.50,2017-03-06,Moto,Q66.50,Q44.56,Q21.95
632249,Q99.21,2017-11-13,Moto,Q81.21,Q51.16,Q30.05
